country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry
Japan,0.3460655970584259,82478.0,75749.0,22.5,80.75,"POLYGON ((135.499877929688 34.6693585452454, 135.50537109375 34.6693585452454, 135.50537109375 34.6648405782193, 135.499877929688 34.6648405782193, 135.499877929688 34.6693585452454))"
Japan,0.37591260399583953,56597.75,63021.75,21.25,74.75,"POLYGON ((135.499877929688 34.6738762658827, 135.50537109375 34.6738762658827, 135.50537109375 34.6693585452454, 135.499877929688 34.6693585452454, 135.499877929688 34.6738762658827))"
Japan,0.30451434538915834,81785.75,75805.25,20.25,78.25,"POLYGON ((135.499877929688 34.7009774147201, 135.50537109375 34.7009774147201, 135.50537109375 34.6964611727235, 135.499877929688 34.6964611727235, 135.499877929688 34.7009774147201))"
Japan,0.301470940867766,96628.25,68076.75,17.75,68.25,"POLYGON ((135.50537109375 34.6738762658827, 135.510864257812 34.6738762658827, 135.510864257812 34.6693585452454, 135.50537109375 34.6693585452454, 135.50537109375 34.6738762658827))"
Japan,0.33207330489326775,5348.0,544.0,52.0,5.0,"POLYGON ((136.862182617188 35.0209997011147, 136.86767578125 35.0209997011147, 136.86767578125 35.016500995886, 136.862182617188 35.016500995886, 136.862182617188 35.0209997011147))"
Japan,0.370764457768912,94599.0,75705.5,20.25,133.25,"POLYGON ((139.696655273438 35.6929946320988, 139.7021484375 35.6929946320988, 139.7021484375 35.6885332073887, 139.696655273438 35.6885332073887, 139.696655273438 35.6929946320988))"
Japan,0.3041865957466198,56115.75,69111.25,19.75,117.0,"POLYGON ((139.7021484375 35.6929946320988, 139.707641601562 35.6929946320988, 139.707641601562 35.6885332073887, 139.7021484375 35.6885332073887, 139.7021484375 35.6929946320988))"
Japan,0.3643763831530952,59314.25,68556.0,18.25,315.75,"POLYGON ((139.7021484375 35.697455807258, 139.707641601562 35.697455807258, 139.707641601562 35.6929946320988, 139.7021484375 35.6929946320988, 139.7021484375 35.697455807258))"
Japan,0.461180027261965,73915.5,80587.0,38.0,63.0,"POLYGON ((141.35009765625 43.0568477758455, 141.355590820312 43.0568477758455, 141.355590820312 43.0528339176279, 141.35009765625 43.0528339176279, 141.35009765625 43.0568477758455))"
Japan,0.3543171792185472,56109.5,59141.25,39.25,45.5,"POLYGON ((141.355590820312 43.0568477758455, 141.361083984375 43.0568477758455, 141.361083984375 43.0528339176279, 141.355590820312 43.0528339176279, 141.355590820312 43.0568477758455))"
Philippines,0.35967789999436806,55686.33333333333,55619.333333333336,11.833333333333332,1.6666666666666665,"POLYGON ((120.097045898438 16.1302620120348, 120.1025390625 16.1302620120348, 120.1025390625 16.124985029561, 120.097045898438 16.124985029561, 120.097045898438 16.1302620120348))"
Philippines,0.33673626678134994,3610.6666666666665,7860.5,75.0,1.3333333333333335,"POLYGON ((120.536499023438 14.4293603933732, 120.5419921875 14.4293603933732, 120.5419921875 14.4240404443547, 120.536499023438 14.4240404443547, 120.536499023438 14.4293603933732))"
Philippines,0.37630813675554153,70457.25,78064.75,14.0,47.0,"POLYGON ((120.5419921875 15.1834824210601, 120.547485351562 15.1834824210601, 120.547485351562 15.1781809455964, 120.5419921875 15.1781809455964, 120.5419921875 15.1834824210601))"
Philippines,0.38559977808974644,22967.5,31385.0,25.0,2.0,"POLYGON ((120.547485351562 15.1834824210601, 120.552978515625 15.1834824210601, 120.552978515625 15.1781809455964, 120.547485351562 15.1781809455964, 120.547485351562 15.1834824210601))"
Philippines,0.3029382297716962,66384.75,73516.0,11.75,49.5,"POLYGON ((120.547485351562 15.1887837634032, 120.552978515625 15.1887837634032, 120.552978515625 15.1834824210601, 120.547485351562 15.1834824210601, 120.547485351562 15.1887837634032))"
Philippines,0.342947997044581,7778.388888888888,4071.555555555555,44.72222222222223,3.6666666666666665,"POLYGON ((120.596923828125 14.5250977010989, 120.602416992188 14.5250977010989, 120.602416992188 14.5197800463261, 120.596923828125 14.5197800463261, 120.596923828125 14.5250977010989))"
Philippines,0.3252831409674812,12854.75,10549.0,55.0,11.75,"POLYGON ((120.602416992188 14.5197800463261, 120.60791015625 14.5197800463261, 120.60791015625 14.5144622637317, 120.602416992188 14.5144622637317, 120.602416992188 14.5197800463261))"
Philippines,0.3815496267978608,3302.3333333333335,2843.3333333333335,44.666666666666664,2.3333333333333335,"POLYGON ((120.602416992188 14.5250977010989, 120.60791015625 14.5250977010989, 120.60791015625 14.5197800463261, 120.602416992188 14.5197800463261, 120.602416992188 14.5250977010989))"
Philippines,0.4209778787793905,40997.5,33809.5,386.5,5.5,"POLYGON ((120.948486328125 14.6101627588732, 120.953979492188 14.6101627588732, 120.953979492188 14.6048471550539, 120.948486328125 14.6048471550539, 120.948486328125 14.6101627588732))"
Philippines,0.4141290140176608,13113.5,10159.25,17.5,15.0,"POLYGON ((120.953979492188 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.6048471550539))"
Philippines,0.3149805949170922,33612.75,14617.5,20.75,3.75,"POLYGON ((120.953979492188 14.6261087988768, 120.95947265625 14.6261087988768, 120.95947265625 14.6207935808273, 120.953979492188 14.6207935808273, 120.953979492188 14.6261087988768))"
Philippines,0.3051348384681195,32785.0,34600.5,26.5,37.5,"POLYGON ((120.953979492188 14.6420536808036, 120.95947265625 14.6420536808036, 120.95947265625 14.6367388489076, 120.953979492188 14.6367388489076, 120.953979492188 14.6420536808036))"
Philippines,0.3364967326445532,32722.75,27169.25,6.75,11.875,"POLYGON ((120.95947265625 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5835834551565, 120.95947265625 14.5835834551565, 120.95947265625 14.5888995727386))"
Philippines,0.40213230926452664,45621.875,47769.875,18.875,1123.0,"POLYGON ((120.95947265625 14.6048471550539, 120.964965820312 14.6048471550539, 120.964965820312 14.5995314227299, 120.95947265625 14.5995314227299, 120.95947265625 14.6048471550539))"
Philippines,0.4240492224190508,42383.625,43056.5,14.5,1082.375,"POLYGON ((120.95947265625 14.6101627588732, 120.964965820312 14.6101627588732, 120.964965820312 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.6101627588732))"
Philippines,0.37735116129930774,41052.0,35469.5,19.625,1556.0,"POLYGON ((120.95947265625 14.6154782341453, 120.964965820312 14.6154782341453, 120.964965820312 14.6101627588732, 120.95947265625 14.6101627588732, 120.95947265625 14.6154782341453))"
Philippines,0.33382539092572017,47543.625,48690.0,14.75,1195.125,"POLYGON ((120.95947265625 14.6207935808273, 120.964965820312 14.6207935808273, 120.964965820312 14.6154782341453, 120.95947265625 14.6154782341453, 120.95947265625 14.6207935808273))"
Philippines,0.4341759350515108,33940.25,30658.375,44.625,41.0,"POLYGON ((120.964965820312 14.5942155619439, 120.970458984375 14.5942155619439, 120.970458984375 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5942155619439))"
Philippines,0.32899196972134614,47557.375,47595.375,12.75,1236.0,"POLYGON ((120.964965820312 14.6048471550539, 120.970458984375 14.6048471550539, 120.970458984375 14.5995314227299, 120.964965820312 14.5995314227299, 120.964965820312 14.6048471550539))"
Philippines,0.34418277715164447,40859.375,33686.375,21.625,204.5,"POLYGON ((120.964965820312 14.7589473199356, 120.970458984375 14.7589473199356, 120.970458984375 14.7536353315404, 120.964965820312 14.7536353315404, 120.964965820312 14.7589473199356))"
Philippines,0.3843119103506821,30823.583333333332,38114.166666666664,43.666666666666664,85.91666666666667,"POLYGON ((120.970458984375 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5782672092405, 120.970458984375 14.5782672092405, 120.970458984375 14.5835834551565))"
Philippines,0.4024063774132256,33646.75,32551.875,25.0,124.625,"POLYGON ((120.970458984375 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5835834551565, 120.970458984375 14.5835834551565, 120.970458984375 14.5888995727386))"
Philippines,0.35581330168643954,44621.125,44223.375,16.875,234.5,"POLYGON ((120.970458984375 14.5942155619439, 120.975952148438 14.5942155619439, 120.975952148438 14.5888995727386, 120.970458984375 14.5888995727386, 120.970458984375 14.5942155619439))"
Philippines,0.3075198127045611,33423.5,33700.5,18.25,1473.5,"POLYGON ((120.970458984375 14.6048471550539, 120.975952148438 14.6048471550539, 120.975952148438 14.5995314227299, 120.970458984375 14.5995314227299, 120.970458984375 14.6048471550539))"
Philippines,0.3676979867417875,70602.25,60937.0,32.75,221.25,"POLYGON ((120.970458984375 14.7589473199356, 120.975952148438 14.7589473199356, 120.975952148438 14.7536353315404, 120.970458984375 14.7536353315404, 120.970458984375 14.7589473199356))"
Philippines,0.37454530054810187,45683.875,41477.0,22.5,158.125,"POLYGON ((120.975952148438 14.5144622637317, 120.9814453125 14.5144622637317, 120.9814453125 14.5091443533584, 120.975952148438 14.5091443533584, 120.975952148438 14.5144622637317))"
Philippines,0.3163824088582518,37403.25,43193.25,12.0,58.5,"POLYGON ((120.975952148438 14.5197800463261, 120.9814453125 14.5197800463261, 120.9814453125 14.5144622637317, 120.975952148438 14.5144622637317, 120.975952148438 14.5197800463261))"
Philippines,0.33999850290288625,32079.833333333332,29137.666666666668,21.833333333333332,423.25,"POLYGON ((120.975952148438 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5782672092405, 120.975952148438 14.5782672092405, 120.975952148438 14.5835834551565))"
Philippines,0.3391689251809817,72994.0,81665.25,11.0,63.25,"POLYGON ((120.975952148438 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5888995727386))"
Philippines,0.3583230668547242,56518.5,58439.25,9.25,153.0,"POLYGON ((120.975952148438 14.5942155619439, 120.9814453125 14.5942155619439, 120.9814453125 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5942155619439))"
Philippines,0.305299383099388,33611.5,33081.75,26.75,399.25,"POLYGON ((120.975952148438 14.5995314227299, 120.9814453125 14.5995314227299, 120.9814453125 14.5942155619439, 120.975952148438 14.5942155619439, 120.975952148438 14.5995314227299))"
Philippines,0.36356231644440223,57593.5,61191.125,20.125,175.75,"POLYGON ((120.9814453125 14.5144622637317, 120.986938476562 14.5144622637317, 120.986938476562 14.5091443533584, 120.9814453125 14.5091443533584, 120.9814453125 14.5144622637317))"
Philippines,0.42469280836631973,36124.375,33910.75,27.375,33.125,"POLYGON ((120.9814453125 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5144622637317, 120.9814453125 14.5144622637317, 120.9814453125 14.5197800463261))"
Philippines,0.4105957298167325,28134.75,23178.083333333332,15.75,45.166666666666664,"POLYGON ((120.9814453125 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5197800463261, 120.9814453125 14.5197800463261, 120.9814453125 14.5250977010989))"
Philippines,0.3103801856848583,46344.0,26553.5,11.25,35.25,"POLYGON ((120.9814453125 14.5304152280074, 120.986938476562 14.5304152280074, 120.986938476562 14.5250977010989, 120.9814453125 14.5250977010989, 120.9814453125 14.5304152280074))"
Philippines,0.3306275356481577,34311.375,19962.25,33.0,304.0,"POLYGON ((120.9814453125 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5304152280074, 120.9814453125 14.5304152280074, 120.9814453125 14.5357326270088))"
Philippines,0.3691961392693893,40911.25,18273.375,22.375,349.75,"POLYGON ((120.9814453125 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5357326270088, 120.9814453125 14.5357326270088, 120.9814453125 14.5410498980604))"
Philippines,0.3078031803684435,58435.5,14984.75,20.5,258.75,"POLYGON ((120.9814453125 14.5463670411195, 120.986938476562 14.5463670411195, 120.986938476562 14.5410498980604, 120.9814453125 14.5410498980604, 120.9814453125 14.5463670411195))"
Philippines,0.3139512288458236,25710.25,19665.5,21.5,1032.0,"POLYGON ((120.9814453125 14.5782672092405, 120.986938476562 14.5782672092405, 120.986938476562 14.572950835033, 120.9814453125 14.572950835033, 120.9814453125 14.5782672092405))"
Philippines,0.3808261140935813,35795.625,28986.5,16.625,588.375,"POLYGON ((120.9814453125 14.5835834551565, 120.986938476562 14.5835834551565, 120.986938476562 14.5782672092405, 120.9814453125 14.5782672092405, 120.9814453125 14.5835834551565))"
Philippines,0.40754381182268395,44534.75,41446.0,18.625,204.625,"POLYGON ((120.9814453125 14.5888995727386, 120.986938476562 14.5888995727386, 120.986938476562 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5888995727386))"
Philippines,0.3742461337982316,71141.5,69831.0,8.25,832.5,"POLYGON ((120.9814453125 14.5942155619439, 120.986938476562 14.5942155619439, 120.986938476562 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5942155619439))"
Philippines,0.3610778975746325,36223.25,23325.25,22.0,6.5,"POLYGON ((120.986938476562 14.5197800463261, 120.992431640625 14.5197800463261, 120.992431640625 14.5144622637317, 120.986938476562 14.5144622637317, 120.986938476562 14.5197800463261))"
Philippines,0.4395641105466304,44535.5,43947.0,22.0,118.75,"POLYGON ((120.986938476562 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5250977010989))"
Philippines,0.4040701977434204,38754.75,30989.0,11.75,302.75,"POLYGON ((120.986938476562 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5304152280074))"
Philippines,0.3634944969945047,41609.25,32709.125,19.0,318.0,"POLYGON ((120.986938476562 14.5463670411195, 120.992431640625 14.5463670411195, 120.992431640625 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5463670411195))"
Philippines,0.3232004126429752,55964.083333333336,55504.0,12.583333333333334,610.1666666666666,"POLYGON ((120.986938476562 14.5835834551565, 120.992431640625 14.5835834551565, 120.992431640625 14.5782672092405, 120.986938476562 14.5782672092405, 120.986938476562 14.5835834551565))"
Philippines,0.387286535492219,29513.5,24302.5,29.0,441.25,"POLYGON ((120.992431640625 14.5197800463261, 120.997924804688 14.5197800463261, 120.997924804688 14.5144622637317, 120.992431640625 14.5144622637317, 120.992431640625 14.5197800463261))"
Philippines,0.4522497155331813,76151.75,78875.5,8.25,687.0,"POLYGON ((120.992431640625 14.5250977010989, 120.997924804688 14.5250977010989, 120.997924804688 14.5197800463261, 120.992431640625 14.5197800463261, 120.992431640625 14.5250977010989))"
Philippines,0.361108771050332,42079.25,35605.75,17.875,1141.125,"POLYGON ((120.992431640625 14.5304152280074, 120.997924804688 14.5304152280074, 120.997924804688 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5304152280074))"
Philippines,0.4313305016773396,40189.375,32363.25,17.0,599.375,"POLYGON ((120.992431640625 14.5357326270088, 120.997924804688 14.5357326270088, 120.997924804688 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5357326270088))"
Philippines,0.39048342982352247,32934.625,28766.375,17.75,711.875,"POLYGON ((120.992431640625 14.5410498980604, 120.997924804688 14.5410498980604, 120.997924804688 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5410498980604))"
Philippines,0.3865263784612745,36833.416666666664,31030.5,22.25,236.08333333333334,"POLYGON ((120.997924804688 14.5091443533584, 121.00341796875 14.5091443533584, 121.00341796875 14.503826315249, 120.997924804688 14.503826315249, 120.997924804688 14.5091443533584))"
Philippines,0.3073091704828478,26031.5,23994.0,24.5,986.0,"POLYGON ((120.997924804688 14.5144622637317, 121.00341796875 14.5144622637317, 121.00341796875 14.5091443533584, 120.997924804688 14.5091443533584, 120.997924804688 14.5144622637317))"
Philippines,0.3830050976634607,39114.875,34841.25,28.75,397.875,"POLYGON ((120.997924804688 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5144622637317, 120.997924804688 14.5144622637317, 120.997924804688 14.5197800463261))"
Philippines,0.3760873952565969,39910.0,33084.25,25.5,173.875,"POLYGON ((120.997924804688 14.5250977010989, 121.00341796875 14.5250977010989, 121.00341796875 14.5197800463261, 120.997924804688 14.5197800463261, 120.997924804688 14.5250977010989))"
Philippines,0.4425890655741698,92279.05,78398.7,6.75,271.2,"POLYGON ((121.00341796875 14.5091443533584, 121.008911132812 14.5091443533584, 121.008911132812 14.503826315249, 121.00341796875 14.503826315249, 121.00341796875 14.5091443533584))"
Philippines,0.34938090856511184,41000.875,32093.25,20.5,615.875,"POLYGON ((121.00341796875 14.5144622637317, 121.008911132812 14.5144622637317, 121.008911132812 14.5091443533584, 121.00341796875 14.5091443533584, 121.00341796875 14.5144622637317))"
Philippines,0.34801882395719946,25828.166666666668,21995.833333333332,19.333333333333332,15.166666666666666,"POLYGON ((121.00341796875 14.5197800463261, 121.008911132812 14.5197800463261, 121.008911132812 14.5144622637317, 121.00341796875 14.5144622637317, 121.00341796875 14.5197800463261))"
Philippines,0.35137784048109577,23185.25,16280.625,21.75,2.875,"POLYGON ((121.00341796875 14.5250977010989, 121.008911132812 14.5250977010989, 121.008911132812 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5250977010989))"
Philippines,0.3083874108276691,46822.625,41736.625,17.25,1192.625,"POLYGON ((121.00341796875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5516840561434, 121.00341796875 14.5516840561434, 121.00341796875 14.5570009430895))"
Philippines,0.3165121644644384,43863.0,32474.375,16.625,2183.125,"POLYGON ((121.00341796875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5570009430895, 121.00341796875 14.5570009430895, 121.00341796875 14.5623177019148))"
Philippines,0.3350478944589874,57784.35,54246.3,12.3,1752.1,"POLYGON ((121.00341796875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.5623177019148, 121.00341796875 14.5623177019148, 121.00341796875 14.5676343325769))"
Philippines,0.3715299483836075,58792.25,50858.5,9.75,22.0,"POLYGON ((121.008911132812 14.5091443533584, 121.014404296875 14.5091443533584, 121.014404296875 14.503826315249, 121.008911132812 14.503826315249, 121.008911132812 14.5091443533584))"
Philippines,0.39731955172306077,75085.5,67588.125,14.875,54.75,"POLYGON ((121.008911132812 14.5197800463261, 121.014404296875 14.5197800463261, 121.014404296875 14.5144622637317, 121.008911132812 14.5144622637317, 121.008911132812 14.5197800463261))"
Philippines,0.4009910891463579,53249.25,47479.0,22.5,473.5,"POLYGON ((121.008911132812 14.5250977010989, 121.014404296875 14.5250977010989, 121.014404296875 14.5197800463261, 121.008911132812 14.5197800463261, 121.008911132812 14.5250977010989))"
Philippines,0.3061038892021914,27421.75,23129.75,18.5,2219.75,"POLYGON ((121.008911132812 14.5463670411195, 121.014404296875 14.5463670411195, 121.014404296875 14.5410498980604, 121.008911132812 14.5410498980604, 121.008911132812 14.5463670411195))"
Philippines,0.3089939947265144,50428.5,49033.625,17.125,2856.25,"POLYGON ((121.008911132812 14.5570009430895, 121.014404296875 14.5570009430895, 121.014404296875 14.5516840561434, 121.008911132812 14.5516840561434, 121.008911132812 14.5570009430895))"
Philippines,0.3263445189873313,41484.0,29835.125,19.625,2208.25,"POLYGON ((121.008911132812 14.5623177019148, 121.014404296875 14.5623177019148, 121.014404296875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5623177019148))"
Philippines,0.36572789050317545,40926.5,30967.625,20.875,1901.125,"POLYGON ((121.008911132812 14.5676343325769, 121.014404296875 14.5676343325769, 121.014404296875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5676343325769))"
Philippines,0.3451616923353195,28511.25,24602.5,24.0,2339.25,"POLYGON ((121.008911132812 14.572950835033, 121.014404296875 14.572950835033, 121.014404296875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.572950835033))"
Philippines,0.3664234763098939,47029.625,38677.0,9.875,3.875,"POLYGON ((121.014404296875 14.5091443533584, 121.019897460938 14.5091443533584, 121.019897460938 14.503826315249, 121.014404296875 14.503826315249, 121.014404296875 14.5091443533584))"
Philippines,0.390861229025283,35030.66666666667,25511.75,12.166666666666666,4.916666666666666,"POLYGON ((121.014404296875 14.5144622637317, 121.019897460938 14.5144622637317, 121.019897460938 14.5091443533584, 121.014404296875 14.5091443533584, 121.014404296875 14.5144622637317))"
Philippines,0.43618665831098435,28253.625,28565.75,8.125,117.875,"POLYGON ((121.014404296875 14.5197800463261, 121.019897460938 14.5197800463261, 121.019897460938 14.5144622637317, 121.014404296875 14.5144622637317, 121.014404296875 14.5197800463261))"
Philippines,0.43945906924793854,31990.375,22400.625,19.875,1153.0,"POLYGON ((121.014404296875 14.5250977010989, 121.019897460938 14.5250977010989, 121.019897460938 14.5197800463261, 121.014404296875 14.5197800463261, 121.014404296875 14.5250977010989))"
Philippines,0.3168688347413447,40438.25,30761.75,15.5,2725.0,"POLYGON ((121.014404296875 14.5623177019148, 121.019897460938 14.5623177019148, 121.019897460938 14.5570009430895, 121.014404296875 14.5570009430895, 121.014404296875 14.5623177019148))"
Philippines,0.35310182132532925,29902.75,21001.0,21.0,794.75,"POLYGON ((121.014404296875 14.5676343325769, 121.019897460938 14.5676343325769, 121.019897460938 14.5623177019148, 121.014404296875 14.5623177019148, 121.014404296875 14.5676343325769))"
Philippines,0.3742729239149075,27689.5,24741.0,22.0,2017.25,"POLYGON ((121.014404296875 14.572950835033, 121.019897460938 14.572950835033, 121.019897460938 14.5676343325769, 121.014404296875 14.5676343325769, 121.014404296875 14.572950835033))"
Philippines,0.3001409167509004,29691.25,25101.75,20.75,1302.75,"POLYGON ((121.014404296875 14.5782672092405, 121.019897460938 14.5782672092405, 121.019897460938 14.572950835033, 121.014404296875 14.572950835033, 121.014404296875 14.5782672092405))"
